index,station,currently_observed,n_first_bloom_points,n_full_bloom_points,first_bloom_year_range,full_bloom_year_range,first_bloom_trend_days_per_decade,full_bloom_trend_days_per_decade,species_note,temporal_plot,phase_space_plot
1,Wakkanai,True,66,64,1953-2025,1953-2025,-1.121,-1.561,Sargent cherry (Prunus sargentii),temporal_plots/001_Wakkanai_temporal.png,phase_space_plots/001_Wakkanai_phase_space.png
2,Rumoi,False,53,53,1953-2008,1953-2008,-0.534,-0.836,Sargent cherry (Prunus sargentii),temporal_plots/002_Rumoi_temporal.png,phase_space_plots/002_Rumoi_phase_space.png
3,Asahikawa,True,73,73,1953-2025,1953-2025,-1.47,-1.816,Sargent cherry (Prunus sargentii),temporal_plots/003_Asahikawa_temporal.png,phase_space_plots/003_Asahikawa_phase_space.png
4,Abashiri,True,68,64,1953-2025,1953-2025,-1.24,-1.459,Sargent cherry (Prunus sargentii),temporal_plots/004_Abashiri_temporal.png,phase_space_plots/004_Abashiri_phase_space.png
5,Sapporo,True,72,72,1953-2025,1953-2025,-1.541,-1.595,,temporal_plots/005_Sapporo_temporal.png,phase_space_plots/005_Sapporo_phase_space.png
6,Iwamizawa,False,54,52,1953-2006,1953-2006,-0.944,-1.406,Sargent cherry (Prunus sargentii),temporal_plots/006_Iwamizawa_temporal.png,phase_space_plots/006_Iwamizawa_phase_space.png
7,Obihiro,True,73,73,1953-2025,1953-2025,-1.798,-1.888,Sargent cherry (Prunus sargentii),temporal_plots/007_Obihiro_temporal.png,phase_space_plots/007_Obihiro_phase_space.png
8,Kushiro,True,54,71,1972-2025,1954-2025,-2.053,-1.557,Sargent cherry (Prunus sargentii),temporal_plots/008_Kushiro_temporal.png,phase_space_plots/008_Kushiro_phase_space.png
9,Nemuro,False,50,50,1960-2010,1960-2010,-0.871,-0.971,Kurile Island Cherry (Cerasus nipponica var. kurilensis),temporal_plots/009_Nemuro_temporal.png,phase_space_plots/009_Nemuro_phase_space.png
10,Muroran,True,73,73,1953-2025,1953-2025,-1.538,-1.51,,temporal_plots/010_Muroran_temporal.png,phase_space_plots/010_Muroran_phase_space.png
